"","NCBI.Taxon.ID","EntrezGene.ID","EntrezGene.ID.HUMAN"
"823",10090,18791,"5327"
"825",10090,18816,"5345"
"827",10090,20020,"5430"
"829",10090,231329,"5431"
"831",10090,18976,"5443"
"833",10090,18984,"5447"
"835",10090,19035,"5479"
"837",10090,19038,"5480"
"839",10090,19075,"5557"
"841",10090,19076,"5558"
"843",10090,19109,"5617"
"845",10090,19116,"5618"
"847",10090,546336,"5638"
"849",10090,65116,"5639"
"851",10090,19214,"5729"
"853",10090,19215,"5730"
"855",10090,19216,"5731"
"857",10090,19217,"5732"
"859",10090,19220,"5737"
"861",10090,19224,"5742"
"863",10090,27367,"6122"
"865",10090,67891,"6124"
"867",10090,19899,"6141"
"869",10090,68193,"6152"
"871",10090,19946,"6156"
"873",10090,19943,"6158"
"876",10090,27050,"6188"
"878",10090,20103,"6193"
"880",10090,67097,"6204"
"882",10090,20055,"6217"
"884",10090,66475,"6228"
"887",10090,20133,"6240"
"889",10090,20266,"6324"
"891",10090,20276,"6337"
"893",10090,20415,"6462"
"895",10090,20538,"6530"
"897",10090,15567,"6532"
"899",10090,20604,"6750"
"901",10090,20605,"6751"
"903",10090,21338,"6870"
"905",10090,21390,"6915"
"907",10090,71775,""
"908",10090,21937,"7132"
"910",10090,21938,"7133"
"912",10090,21973,"7153"
"914",10090,103733,"7283"
"916",10090,22171,"7298"
"918",10090,22329,"7412"
"920",10090,22637,"7535"
"922",10090,214579,"7915"
"924",10090,242202,"8654"
"926",10090,26433,"8985"
"928",10090,227290,"14"
"930",10090,224742,"23"
"932",10090,104112,"47"
"934",10090,11434,"49"
"936",10090,11429,"50"
"938",10090,11474,""
"939",10090,11481,"93"
"941",10090,11487,"102"
"943",10090,11513,"113"
"945",10090,11515,"115"
"947",10090,11516,"116"
"949",10090,11517,"117"
"951",10090,68294,"10227"
"953",10090,11520,"123"
"955",10090,11535,"133"
"957",10090,11544,"141"
"959",10090,11566,"159"
"961",10090,11568,"165"
"963",10090,14797,"166"
"965",10090,280662,"173"
"967",10090,11596,"177"
"969",10090,11686,"242"
"971",10090,11688,"247"
"973",10090,23802,"267"
"975",10090,66401,"318"
"977",10090,319924,"320"
"979",10090,11785,"322"
"981",10090,11796,"330"
"983",10090,11797,"329"
"985",10090,11798,"331"
"987",10090,11847,"384"
"989",10090,11855,"394"
"991",10090,192662,"396"
"993",10090,11865,"406"
"995",10090,109979,"419"
"997",10090,11890,"433"
"999",10090,110695,"501"
"1001",10090,54411,"537"
"1003",10090,12007,"563"
"1005",10090,12013,"571"
"1007",10090,12018,"578"
"1009",10090,21935,"608"
"1011",10090,12075,"631"
"1013",10090,12122,"637"
"1015",10090,12124,"638"
"1017",10090,12142,"639"
"1019",10090,12156,"650"
"1021",10090,110075,"651"
"1023",10090,12168,"659"
"1025",10090,224630,"662"
"1027",10090,16601,"687"
"1029",10090,12236,"701"
"1031",10090,12321,"813"
"1033",10090,12390,"858"
"1035",10090,66671,"902"
"1037",10090,12455,"904"
"1039",10090,21941,"943"
"1041",10090,21949,"944"
"1043",10090,21939,"958"
"1045",10090,12514,"968"
"1047",10090,21948,"970"
"1049",10090,217232,"996"
"1051",10090,12571,"1021"
"1053",10090,12580,"1031"
"1055",10090,12591,"1045"
"1057",10090,105670,"1102"
"1059",10090,12649,"1111"
"1061",10090,12652,"1113"
"1063",10090,12675,"1147"
"1065",10090,12696,"1153"
"1067",10090,66411,"1155"
"1069",10090,23844,"1179"
"1071",10090,26372,"1185"
"1073",10090,224796,"53405"
"1075",10090,16826,"9079"
"1077",10090,12729,"1207"
"1079",10090,59289,"1238"
"1082",10090,12790,"1261"
"1084",10090,12797,"1264"
"1086",10090,23849,"1316"
"1088",10090,12854,"1325"
"1090",10090,12874,"1362"
"1092",10090,12740,"1364"
"1094",10090,12739,"1365"
"1096",10090,93721,"1369"
"1098",10090,232430,"1389"
"1100",10090,110750,"1434"
"1102",10090,73720,"1474"
"1104",10090,67337,"1477"
"1106",10090,228410,"1479"
"1108",10090,13016,"1487"
"1110",10090,13019,"1489"
"1112",10090,12388,"1500"
"1114",10090,229445,"1519"
"1116",10090,64138,"1522"
"1118",10090,13052,"1525"
"1120",10090,13132,"1601"
"1122",10090,13135,"1603"
"1124",10090,13139,"1606"
"1126",10090,110197,"1608"
"1128",10090,226414,"1615"
"1130",10090,13163,"1616"
"1133",10090,13170,"1628"
"1135",10090,13202,"1652"
"1137",10090,13211,"1660"
"1139",10090,13204,"1665"
"1141",10090,13360,"1717"
"1143",10090,56749,"1723"
"1145",10090,107585,"1735"
"1147",10090,245474,"1736"
"1149",10090,23859,"1740"
"1151",10090,13385,"1742"
"1153",10090,110082,"1767"
"1155",10090,13417,"1769"
"1157",10090,56629,"58511"
"1159",10090,13424,"1778"
"1161",10090,13448,"1796"
"1163",10090,13478,"1798"
"1165",10090,116905,"1801"
"1167",10090,67728,"1802"
"1169",10090,13495,"1819"
"1171",10090,407800,"1842"
"1173",10090,319520,"1846"
"1175",10090,75590,"1852"
"1177",10090,230857,"1889"
"1179",10090,51798,"1891"
"1181",10090,13609,"1901"
"1183",10090,14745,"1902"
"1185",10090,13637,"1943"
"1187",10090,13643,"1949"
"1189",10090,107934,"1951"
"1191",10090,53883,"1952"
"1193",10090,209354,"1967"
"1195",10090,13730,"2012"
"1197",10090,13731,"2013"
"1199",10090,13732,"2014"
"1201",10090,328572,"2033"
"1203",10090,13819,"2034"
"1205",10090,13874,"2069"
"1207",10090,14113,"2091"
"1209",10090,13983,"2100"
"1211",10090,58193,"2135"
"1213",10090,54616,"2137"
"1215",10090,14080,"2168"
"1217",10090,16204,"2172"
"1219",10090,245827,"2196"
"1221",10090,15227,"2294"
"1223",10090,14238,"2295"
"1225",10090,15223,"2302"
"1227",10090,192176,"2316"
"1229",10090,20378,"2487"
"1231",10090,11495,"2515"
"1233",10090,54393,"2550"
"1235",10090,14421,"2583"
"1237",10090,104346,"2622"
"1239",10090,67092,"2628"
"1241",10090,14467,"2631"
"1243",10090,14472,"2637"
"1245",10090,231103,"2646"
"1247",10090,14533,"2647"
"1249",10090,14586,"2675"
"1251",10090,14587,"2676"
"1253",10090,14629,"2729"
"1255",10090,14756,"2822"
"1257",10090,12766,"2833"
"1259",10090,14780,"2880"
"1261",10090,229906,"2959"
"1263",10090,23894,"2966"
"1265",10090,209357,"2967"
"1267",10090,72308,"2972"
"1269",10090,15116,"3036"
"1271",10090,15171,"3060"
"1273",10090,387285,"3062"
"1275",10090,54426,"3083"
"1277",10090,15251,"3091"
"1279",10090,15388,"3191"
"1281",10090,15507,"3315"
"1283",10090,78908,"3321"
"1285",10090,68572,"3396"
"1287",10090,15904,"3400"
"1289",10090,15958,"3433"
"1291",10090,15959,"3437"
"1292",10090,667370,"3437"
"1294",10090,16010,"3487"
"1296",10090,29817,"3490"
"1298",10090,16007,"3491"
"1300",10090,209268,"3547"
"1302",10090,16154,"3587"
"1304",10090,16162,"3595"
"1306",10090,16164,"3597"
"1308",10090,21942,"3604"
"1310",10090,16173,"3606"
"1312",10090,63859,"3617"
"1314",10090,15945,"3627"
"1316",10090,16332,"3636"
"1318",10090,16341,"3646"
"1320",10090,108960,"3656"
"1322",10090,54131,"3661"
"1324",10090,18508,"5080"
"1326",10090,234734,"16"
"1328",10090,66885,"36"
"1330",10090,11432,"53"
"1332",10090,11451,"56"
"1334",10090,11519,"119"
"1336",10090,11545,"142"
"1338",10090,110355,"156"
"1340",10090,11622,"196"
"1342",10090,11625,"197"
"1344",10090,11629,"199"
"1346",10090,11637,"204"
"1348",10090,11658,"214"
"1350",10090,11690,"241"
"1352",10090,11699,"259"
"1354",10090,11702,"262"
"1355",10090,100041585,"262"
"1357",10090,27052,"313"
"1359",10090,235606,"327"
"1361",10090,11792,"328"
"1363",10090,11807,"336"
"1365",10090,11810,"339"
"1367",10090,11425,"346"
"1369",10090,11815,"347"
"1371",10090,11836,"369"
"1373",10090,213827,"372"
"1375",10090,81003,"373"
"1377",10090,11839,"374"
"1379",10090,80981,"379"
"1381",10090,11845,"382"
"1383",10090,56327,"402"
"1385",10090,11863,"405"
"1387",10090,11889,"432"
"1389",10090,50518,"434"
"1391",10090,11910,"467"
"1393",10090,11911,"468"
"1395",10090,11957,"522"
"1397",10090,11947,"506"
"1399",10090,11950,"515"
"1401",10090,11966,"526"
"1403",10090,66335,"528"
"1405",10090,11973,"529"
"1407",10090,28080,"539"
"1409",10090,11992,"549"
"1411",10090,12012,"570"
"1413",10090,107831,"575"
"1415",10090,230775,"576"
"1417",10090,210933,"577"
"1419",10090,12054,"9275"
"1421",10090,12057,"611"
"1423",10090,14962,"629"
"1425",10090,12111,"633"
"1427",10090,12116,"635"
"1429",10090,12143,"640"
"1431",10090,12145,"643"
"1433",10090,12161,"654"
"1435",10090,21682,"7006"
"1437",10090,67065,"661"
"1439",10090,12209,"680"
"1441",10090,12215,"682"
"1443",10090,12223,"685"
"1445",10090,12231,"696"
"1447",10090,50909,"715"
"1448",10090,667277,"715"
"1450",10090,50908,"716"
"1451",10090,317677,"716"
"1453",10090,12308,"794"
"1455",10090,12311,"799"
"1457",10090,12328,"819"
"1459",10090,12330,"821"
"1461",10090,12334,"824"
"1463",10090,12336,"826"
"1465",10090,27267,"833"
"1467",10090,12389,"857"
"1469",10090,12394,"861"
"1471",10090,12443,"595"
"1473",10090,12449,"899"
"1475",10090,12466,"908"
"1477",10090,12479,"912"
"1479",10090,12481,"914"
"1481",10090,12478,"930"
"1483",10090,12490,"947"
"1485",10090,12494,"952"
"1487",10090,16423,"961"
"1489",10090,12506,"962"
"1491",10090,12517,"971"
"1493",10090,72269,"978"
"1495",10090,235072,"989"
"1497",10090,12530,"993"
"1499",10090,12532,"995"
"1501",10090,12562,"1003"
"1503",10090,12552,"1009"
"1505",10090,12572,"1022"
"1507",10090,12583,"1036"
"1509",10090,12590,"1044"
"1511",10090,110794,"1053"
"1513",10090,12611,"1054"
"1515",10090,12615,"1058"
"1517",10090,12616,"1059"
"1519",10090,12617,"1060"
"1521",10090,13032,"1075"
"1523",10090,12653,"1114"
"1525",10090,12759,"1191"
"1527",10090,109791,"1208"
"1529",10090,12757,"1211"
"1531",10090,12775,"1236"
"1533",10090,12802,"1269"
"1535",10090,12827,"1284"
"1537",10090,12833,"1291"
"1539",10090,12834,"1292"
"1541",10090,12839,"1297"
"1543",10090,12819,"1306"
"1545",10090,107581,"1307"
"1547",10090,20529,"1317"
"1549",10090,66142,"1349"
"1551",10090,69719,"790"
"1553",10090,12894,"1374"
"1555",10090,12904,"1382"
"1557",10090,12919,"1393"
"1559",10090,12950,"1404"
"1561",10090,12959,"1413"
"1563",10090,12960,"1414"
"1565",10090,12971,"1428"
"1567",10090,12991,"1447"
"1569",10090,14219,"1490"
"1571",10090,107869,"1491"
"1573",10090,12385,"1495"
"1575",10090,12387,"1499"
"1577",10090,13171,"1629"
"1579",10090,13190,"1638"
"1581",10090,13194,"1642"
"1583",10090,13197,"1647"
"1585",10090,330817,"1725"
"1587",10090,75739,"143098"
"1589",10090,78920,"1743"
"1591",10090,56429,"1805"
"1593",10090,13498,"1822"
"1595",10090,13507,"1825"
"1597",10090,13510,"1828"
"1598",10090,225256,"1828"
"1600",10090,13511,"1829"
"1602",10090,15200,"1839"
"1604",10090,235584,"1849"
"1606",10090,104394,"1874"
"1608",10090,13559,"1875"
"1610",10090,50496,"1876"
"1612",10090,72962,"1890"
"1614",10090,13614,"1906"
"1616",10090,13615,"1907"
"1618",10090,13617,"1909"
"1620",10090,55949,"1933"
"1622",10090,13640,"1946"
"1624",10090,13645,"1950"
"1626",10090,13656,"1961"
"1628",10090,74147,"1962"
"1630",10090,13682,"1974"
"1632",10090,208691,"56648"
"1634",10090,13714,"2005"
"1636",10090,13733,"2015"
"1638",10090,13829,"2039"
"1640",10090,13870,"2067"
"1642",10090,110826,"2109"
"1644",10090,18612,"2118"
"1646",10090,14027,"2125"
"1648",10090,14028,"2128"
"1650",10090,14050,"2140"
"1652",10090,14062,"2149"
"1654",10090,14066,"2152"
"1656",10090,14060,"2165"
"1658",10090,14115,"2199"
"1660",10090,14119,"2201"
"1662",10090,14125,"2205"
"1664",10090,14128,"2208"
"1666",10090,14134,"2219"
"1668",10090,110196,"2224"
"1670",10090,14173,"2247"
"1672",10090,14175,"2249"
"1674",10090,14180,"2254"
"1676",10090,30795,"2287"
"1678",10090,56458,"2308"
"1680",10090,14264,"2331"
"1682",10090,14265,"2332"
"1684",10090,14266,""
"1685",10090,14268,"2335"
"1687",10090,14272,"2339"
"1689",10090,110606,"2342"
"1691",10090,14345,"2526"
"1693",10090,70750,"2531"
"1695",10090,14388,"2549"
"1697",10090,14390,"2551"
"1699",10090,14432,"2596"
"1701",10090,353172,"2617"
"1703",10090,14451,"2619"
"1705",10090,14460,"2623"
"1707",10090,14462,"2625"
"1709",10090,14463,"2626"
"1711",10090,14526,""
"1712",10090,14580,"2670"
"1714",10090,14612,"2701"
"1716",10090,14630,"2730"
"1718",10090,14652,"2740"
"1720",10090,14676,"2769"
"1722",10090,14682,"2776"
"1724",10090,75612,"2799"
"1726",10090,14718,"2805"
"1728",10090,14719,"2806"
"1730",10090,14784,"2885"
"1732",10090,14824,"2896"
"1734",10090,14809,"2901"
"1736",10090,225642,"2922"
"1738",10090,98053,"2962"
"1740",10090,107477,"2979"
"1742",10090,15115,"3035"
"1744",10090,15194,"3064"
"1746",10090,110521,"3096"
"1748",10090,15001,"3111"
"1750",10090,15002,"3112"
"1752",10090,14961,"3119"
"1754",10090,208715,"3157"
"1756",10090,15369,"3163"
"1758",10090,15370,"3164"
"1760",10090,15407,"3211"
"1762",10090,15410,"3213"
"1764",10090,15430,"3236"
"1766",10090,15445,"3242"
"1768",10090,15525,"3308"
"1770",10090,15510,"3329"
"1772",10090,15900,"3394"
"1774",10090,15901,"3397"
"1776",10090,15902,"3398"
"1778",10090,15903,"3399"
"1780",10090,15977,"3456"
"1782",10090,16012,"3489"
"1784",10090,20589,"3508"
"1786",10090,16180,"3556"
"1788",10090,16195,"3572"
"1790",10090,16197,"3575"
"1792",10090,16160,"3593"
"1794",10090,16163,"3596"
"1796",10090,16169,"3601"
"1798",10090,16171,"3605"
"1800",10090,16322,"3623"
"1802",10090,16323,"3624"
"1804",10090,16324,"3625"
"1806",10090,16329,"3628"
"1808",10090,11428,"48"
"1810",10090,16362,"3659"
"1812",10090,16363,"3660"
"1814",10090,16392,"3670"
"1816",10090,16398,"3673"
"1818",10090,104099,"3680"
"1820",10090,16408,"3683"
"1822",10090,16424,"3697"
"1824",10090,16425,"3698"
"1826",10090,16426,"3699"
"1828",10090,16427,"3700"
"1830",10090,228550,"3706"
"1832",10090,320404,"3707"
"1834",10090,16438,"3708"
"1836",10090,16440,"3710"
"1838",10090,56357,"3712"
"1840",10090,16450,"3714"
"1842",10090,16451,"3716"
"1844",10090,16476,"3725"
"1846",10090,16480,"3728"
"1848",10090,16493,"3741"
"1850",10090,16494,"3742"
"1852",10090,16519,"3760"
"1854",10090,16522,"3763"
"1856",10090,16513,"3766"
"1858",10090,16516,"3772"
"1860",10090,16525,"3775"
"1862",10090,16527,"3777"
"1864",10090,16531,"3778"
"1866",10090,16534,"3783"
"1868",10090,280287,"3814"
"1870",10090,16643,"3824"
"1872",10090,16211,"3837"
"1874",10090,16647,"3838"
"1876",10090,70572,"3843"
"1878",10090,16665,"3866"
"1880",10090,16669,"3880"
"1882",10090,53617,"3886"
"1884",10090,16679,"3892"
"1886",10090,16764,"3899"
"1888",10090,16768,"3902"
"1890",10090,16770,"3906"
"1892",10090,16777,"3912"
"1894",10090,16779,"3913"
"1896",10090,226519,"3915"
"1898",10090,16841,"3950"
"1900",10090,16847,"3953"
"1902",10090,16878,"3976"
"1904",10090,16880,"3977"
"1906",10090,319583,"3981"
"1908",10090,16885,"3984"
"1910",10090,16948,"4015"
"1912",10090,94352,"4017"
"1914",10090,16971,"4035"
"1916",10090,435965,"4037"
"1918",10090,16973,"4041"
"1920",10090,16974,"4040"
"1922",10090,16985,"4046"
"1924",10090,16994,"4050"
"1926",10090,17000,"4055"
"1928",10090,17002,"4057"
"1930",10090,23934,"4062"
"1932",10090,17085,"4063"
"1934",10090,20400,"4068"
"1936",10090,56753,"4070"
"1938",10090,17075,"4072"
"1940",10090,17119,"4084"
"1942",10090,56150,"4085"
"1944",10090,17135,"7975"
